yo_f_0001.wav	Ara à mií dá ṣáká bíi ara ọmọ tuntun ní àárọ̀ yìí.
yo_f_0002.wav	Ìgbákejì Ààrẹ di adelé nígbà tí ààrẹ ti lọ fún ìpàdé ńlá.
yo_f_0003.wav	Ààrẹ orílẹ̀-èdè Nàìjíríà wà ní òkè òkun.
yo_f_0004.wav	Eléyìí ni ó jẹ́ ìkẹrìnléláàdọ́rín ìpàdé àpérò irú u rẹ̀
yo_f_0005.wav	Ọjọ́ ọ Àìkú ni aṣojú orílẹ̀-èdè Nàìjíríà fún ilẹ̀ Amẹ́ríkà á padà sí ìlú-ọba. 
yo_f_0006.wav	Mínísítà fún ọ̀rọ̀ òkèèrè àti Mínísítà fún ètò ìlera àti àwọn mìíràn ti pàdé. 
yo_f_0007.wav	Ààrẹ orílẹ̀-èdè e Nàìjíríà jẹ́ ìkarùn-ún nínú àwọn ti yóò sọ̀rọ̀.
yo_f_0008.wav	Ṣé ọjọ́ Ìṣẹ́gun ni ìpàdé náà yóò bẹ̀rẹ̀?
yo_f_0009.wav	Olórí i ìlú náà yóò máa sọ̀rọ̀ lórí ìṣèjọba àti ìpinnu mẹ́ta.
yo_f_0010.wav	Ọ̀pọ̀ ọmọ Nàìjíríà ni wọ́n fìbò dá padà sórí àlééfà. 
yo_f_0011.wav	Yóò ṣàlàyé àwọn ipò tí orílẹ̀-èdè Nàìjíríà wà.
yo_f_0012.wav	Ọ́ ṣe pẹ̀kínrẹ̀kí pẹ̀lúu Orílẹ̀-èdè e Nàìjíríà.
yo_f_0013.wav	Ìkópa Ààrẹ nínú ìpéjọ àwọn olórí orílẹ̀-èdè àgbáyé ọdún yìí ṣe pàtàkì.
yo_f_0014.wav	Ṣe o rantí i ákórí ìpàdé e Àpérò Àjọ Ìṣòkan Àgbáyé ẹlẹ́ẹ̀kẹrìnléláàdọ́rin?
yo_f_0015.wav	Àrùn ibà ọlọ́jẹ̀ àkọ́kọ́ ṣẹlẹ̀ ní orílẹ̀-èdè kan nílẹ̀ adúláwọ̀.
yo_f_0016.wav	Àwọn aṣojú ìjọba wípé ó ṣe é ṣe kí ààrùn náà ó tàn kíá.
yo_f_0017.wav	Ní ọjọ́ Àìkú ni ìkéde náà jáde tí ó sì ń bà wọ́n lẹ́rù gidi. 
yo_f_0018.wav	Ó tó àádọ́ta-ọ̀kẹ́ kan àwọn ènìyàn tó ń gbé ìlú tó súnmọ́ bèbè adágúndò. 
yo_f_0019.wav	Wọ́n filé e wọn sílẹ̀ ní bí ọdún kan sẹ́yìn.
yo_f_0020.wav	Àrùn ibà ọlọ́jẹ̀ náà tí ń ṣe wérewère tàn ká dé gúúsù.
yo_f_0021.wav	Ó ti ran àwọn ènìyàn ẹ̀ẹ́dẹ́gbẹ́ẹ̀ta tí ó sì pa àwọn ẹgbẹ̀jọ.
yo_f_0022.wav	Àwọn òṣìṣẹ́ ilé-ìwòsàn náà sọpé àlùfáà ni ẹni tí ó lu gúdẹ àrùn náà.
yo_f_0023.wav	Níbo ni ó ti ṣàgbákò àwọn ènìyàn tó ní àrùn ibà ọlọ́jẹ̀ yìí?
