00001.wav	00001_00250_acfb2701	verified	Nàìjíríà yóò gba ikọ̀ ọmọ ogun tuntun.
00002.wav	00001_00250_acfb2701	verified	Wọ́n fẹ́ gbógun ti ìdúnkòkò àti ètò ààbò tó ń ṣe sége-sège.
00003.wav	00001_00250_acfb2701	verified	Ọ̀jọ̀gbọ́n Yẹmí Òṣínbàjò jẹ́ igbákejì ààrẹ.
00004.wav	00001_00250_acfb2701	verified	Mo lọ sí ìlú Àbújá lọ́jọ́ Ajé láti pàdé ọ̀rẹ́ mi.
00005.wav	00001_00250_acfb2701	verified	Ọ̀jọ̀gbọ́n Ajáńlékokò sọ̀rọ̀ lásìkò ìpàdé tí ó ṣe.
00006.wav	00001_00250_acfb2701	verified	Mò ń gbọ́ orin nígbà tí mò ń lọ sílé ìjọsìn.
00007.wav	00001_00250_acfb2701	verified	Ọ̀jọ̀gbọ́n Òsínbàjò tún ní, À ń sa ipá a wa lórí ètò ààbò.
00008.wav	00001_00250_acfb2701	verified	Wọ́n lọ sí ìlà oòrùn láti kojú ikọ̀ ọlọtẹ̀.
00009.wav	00001_00250_acfb2701	verified	Wọ́n ya owó kan sọ́tọ̀ láti fi ra irinṣẹ́ ogun.
00010.wav	00001_00250_acfb2701	verified	Wọ́n ṣe àmójútó ètò ààbò lórílẹ̀ èdè yìí.
00011.wav	00001_00250_acfb2701	verified	Ìlú ṣe ètò tí ìjọba yóò máa tẹ̀lé láti mójútó ètò ààbò o.
00012.wav	00001_00250_acfb2701	verified	Wọ́n ṣàpèjúwe rẹ̀ gẹ́gẹ́ bí èèyàn àlááfíà.
00013.wav	00001_00250_acfb2701	verified	A ò ní fowó kún ọkọ̀ ojú irin nítorí àwọn mẹ̀kúnnù.
00014.wav	00001_00250_acfb2701	verified	Ìjọba kò ní dẹ́kun àti ṣèrànwọ́ nípa fífi owó kún ọkọ̀ ojú irin.
00015.wav	00001_00250_acfb2701	verified	Ó sọ̀rọ̀ yìí lásìkò tó ń bá àwọn akọ̀rọ̀yìn sọrọ̀. 
00016.wav	00001_00250_acfb2701	verified	Lágbàáyé kò sí ibi tí wọ́n ti ń lo ọkọ̀ ojú irin láti pa owó sápò ìjọba.
00017.wav	00001_00250_acfb2701	verified	Ilé-iṣẹ́ tó ń mójútó ọkọ̀ ojú irin yóò tún pèsè àwọn ọkọ̀ ojú irin tuntun.
